title,rating,numOfRatings,FirstMovieRecommendation,SecondMovieRecommendation,ThirdMovieRecommendation,FourthMovieRecommendation
romeo is bleeding (1993),3.0,37,Ulee's Gold (1997),Dante's Peak (1997),"Wrong Trousers, The (1993)",Kiss the Girls (1997)
romper stomper (1992),3.0,5,Unforgiven (1992),Full Metal Jacket (1987),Cop Land (1997),Psycho (1960)
romy and michele's high school reunion (1997),3.061224489795918,98,Ulee's Gold (1997),Tombstone (1993),Under Siege (1992),Unforgiven (1992)
"room with a view, a (1986)",3.985074626865672,134,Star Trek: The Motion Picture (1979),"Sex, Lies, and Videotape (1989)",Sense and Sensibility (1995),"Hunchback of Notre Dame, The (1996)"
roommates (1995),3.230769230769231,13,Down Periscope (1996),Face/Off (1997),Grosse Pointe Blank (1997),Seven Years in Tibet (1997)
roseanna's grave (for roseanna) (1997),2.8,5,Mimic (1997),Rosewood (1997),Dante's Peak (1997),"Devil's Advocate, The (1997)"
rosencrantz and guildenstern are dead (1990),3.888888888888889,90,Cop Land (1997),Lost Highway (1997),What's Eating Gilbert Grape (1993),Cool Hand Luke (1967)
rosewood (1997),3.6666666666666665,114,Pinocchio (1940),Miracle on 34th Street (1994),Star Trek: The Motion Picture (1979),Mimic (1997)
rough magic (1995),2.5,2,Kiss the Girls (1997),"Boot, Das (1981)","English Patient, The (1996)",L.A. Confidential (1997)
ruby in paradise (1993),3.130434782608696,23,Mystery Science Theater 3000: The Movie (1996),"Saint, The (1997)",Conan the Barbarian (1981),Star Trek: The Motion Picture (1979)
rudy (1993),3.3125,64,Star Trek III: The Search for Spock (1984),Kolya (1996),"Boot, Das (1981)","Room with a View, A (1986)"
"ruling class, the (1972)",3.875,16,Stargate (1994),Dante's Peak (1997),"Craft, The (1996)",Ulee's Gold (1997)
rumble in the bronx (1995),3.4482758620689653,174,"Edge, The (1997)",Jackie Chan's First Strike (1996),Cool Hand Luke (1967),Alien: Resurrection (1997)
"run of the country, the (1995)",3.25,4,Lawrence of Arabia (1962),My Left Foot (1989),Much Ado About Nothing (1993),Monty Python and the Holy Grail (1974)
s.f.w. (1994),3.0,2,Eraser (1996),Grumpier Old Men (1995),Highlander (1986),Home Alone (1990)
sabrina (1954),3.796875,64,Jungle2Jungle (1997),Under Siege (1992),Father of the Bride Part II (1995),"Devil's Advocate, The (1997)"
sabrina (1995),3.5,190,GoldenEye (1995),My Fair Lady (1964),G.I. Jane (1997),Absolute Power (1997)
safe (1995),4.0,13,"Peacemaker, The (1997)",Home Alone (1990),Mr. Smith Goes to Washington (1939),Murder at 1600 (1997)
safe passage (1994),3.0,2,"Nightmare on Elm Street, A (1984)",Braveheart (1995),Miracle on 34th Street (1994),Batman (1989)
"saint of fort washington, the (1993)",5.0,2,-,-,-,-
"saint, the (1997)",3.1234177215189876,316,Down Periscope (1996),"Ghost and the Darkness, The (1996)",Michael (1996),Eraser (1996)
salut cousin! (1996),2.0,2,Titanic (1997),Ulee's Gold (1997),"Godfather, The (1972)",L.A. Confidential (1997)
"santa clause, the (1994)",3.097560975609756,82,Good Will Hunting (1997),Kiss the Girls (1997),"Craft, The (1996)",Jungle2Jungle (1997)
santa with muscles (1996),5.0,2,-,-,-,-
"savage nights (nuits fauves, les) (1992)",3.0,3,Titanic (1997),Sense and Sensibility (1995),Chasing Amy (1997),Butch Cassidy and the Sundance Kid (1969)
"scarlet letter, the (1926)",3.0,2,"Terminator, The (1984)",Highlander (1986),Star Trek VI: The Undiscovered Country (1991),Star Trek: The Wrath of Khan (1982)
"scarlet letter, the (1995)",2.4,5,True Lies (1994),In the Line of Fire (1993),George of the Jungle (1997),Searching for Bobby Fischer (1993)
schindler's list (1993),4.466442953020135,298,Seven Years in Tibet (1997),"Edge, The (1997)","Boot, Das (1981)","Great Escape, The (1963)"
schizopolis (1996),3.0,4,M*A*S*H (1970),Real Genius (1985),Top Gun (1986),Tombstone (1993)
"scout, the (1994)",2.6666666666666665,12,Cool Hand Luke (1967),"Great Escape, The (1963)",Volcano (1997),Little Women (1994)
scream (1996),3.4414225941422596,478,Scream 2 (1997),Seven (Se7en) (1995),Starship Troopers (1997),"Nightmare on Elm Street, A (1984)"
scream 2 (1997),3.2169811320754715,106,"Crow, The (1994)",Scream (1996),"Sound of Music, The (1965)","Nutty Professor, The (1996)"
scream of stone (schrei aus stein) (1991),3.0,1,-,-,-,-
screamers (1995),2.652173913043478,46,My Fair Lady (1964),On Golden Pond (1981),Miracle on 34th Street (1994),Ben-Hur (1959)
"search for one-eye jimmy, the (1996)",2.6666666666666665,3,Leaving Las Vegas (1995),"Rock, The (1996)",Chasing Amy (1997),Down Periscope (1996)
searching for bobby fischer (1993),3.9057971014492754,138,Ulee's Gold (1997),"Rainmaker, The (1997)",Cop Land (1997),G.I. Jane (1997)
"second jungle book: mowgli & baloo, the (1997)",2.0,6,"Saint, The (1997)","Devil's Own, The (1997)",Groundhog Day (1993),"Nutty Professor, The (1996)"
"secret adventures of tom thumb, the (1993)",2.6,5,M*A*S*H (1970),Henry V (1989),Ulee's Gold (1997),"Boot, Das (1981)"
"secret agent, the (1996)",3.0,6,Little Women (1994),Dances with Wolves (1990),"Devil's Advocate, The (1997)",Mr. Holland's Opus (1995)
"secret garden, the (1993)",3.5443037974683542,79,Kiss the Girls (1997),Ulee's Gold (1997),Swingers (1996),"Professional, The (1994)"
"secret of roan inish, the (1994)",3.859154929577465,71,"Manchurian Candidate, The (1962)","Professional, The (1994)",James and the Giant Peach (1996),True Romance (1993)
secrets & lies (1996),4.265432098765432,162,"Crow, The (1994)","Ice Storm, The (1997)","Good, The Bad and The Ugly, The (1966)",Star Trek III: The Search for Spock (1984)
selena (1997),3.625,16,Outbreak (1995),On Golden Pond (1981),Bound (1996),Natural Born Killers (1994)
sense and sensibility (1995),4.0111940298507465,268,Fly Away Home (1996),Emma (1996),"Room with a View, A (1986)","Philadelphia Story, The (1940)"
senseless (1998),2.4285714285714284,7,"People vs. Larry Flynt, The (1996)",Chasing Amy (1997),"Great Escape, The (1963)",Mighty Aphrodite (1995)
serial mom (1994),2.814814814814815,54,Ed Wood (1994),Lawrence of Arabia (1962),"Nightmare Before Christmas, The (1993)",True Romance (1993)
set it off (1996),3.4210526315789473,19,Monty Python's Life of Brian (1979),Clueless (1995),George of the Jungle (1997),Under Siege (1992)
seven (se7en) (1995),3.847457627118644,236,Good Will Hunting (1997),"Nightmare on Elm Street, A (1984)",Cape Fear (1991),"Devil's Advocate, The (1997)"
seven years in tibet (1997),3.458064516129032,155,Outbreak (1995),Philadelphia (1993),"River Wild, The (1994)",Interview with the Vampire (1994)
"seventh seal, the (sjunde inseglet, det) (1957)",3.5416666666666665,72,Kiss the Girls (1997),Outbreak (1995),Star Trek: The Motion Picture (1979),Ulee's Gold (1997)
"sex, lies, and videotape (1989)",3.4752475247524752,101,Crash (1996),Chinatown (1974),Harold and Maude (1971),"Adventures of Priscilla, Queen of the Desert, The (1994)"
"sexual life of the belgians, the (1994)",1.5,2,Ulee's Gold (1997),Crash (1996),Emma (1996),Trainspotting (1996)
sgt. bilko (1996),2.5675675675675675,74,Raging Bull (1980),"Devil's Advocate, The (1997)","Close Shave, A (1995)",Down Periscope (1996)
shadow conspiracy (1997),2.8636363636363638,44,Batman Forever (1995),"Peacemaker, The (1997)","Last of the Mohicans, The (1992)",Jungle2Jungle (1997)
shadow of angels (schatten der engel) (1976),1.0,1,-,-,-,-
"shadow, the (1994)",2.888888888888889,45,Beautiful Girls (1996),"Ghost and the Darkness, The (1996)","Room with a View, A (1986)",Cinema Paradiso (1988)
shadowlands (1993),3.9358974358974357,78,Rosewood (1997),Crash (1996),That Thing You Do! (1996),Kolya (1996)
shadows (cienie) (1988),1.0,1,-,-,-,-
"shaggy dog, the (1959)",3.0,30,Crash (1996),Tomorrow Never Dies (1997),Fly Away Home (1996),Bonnie and Clyde (1967)
shall we dance? (1937),3.7058823529411766,17,"Rainmaker, The (1997)",Scream 2 (1997),Fly Away Home (1996),"Frighteners, The (1996)"
shall we dance? (1996),4.260869565217392,46,Patton (1970),Lone Star (1996),Miracle on 34th Street (1994),Alien: Resurrection (1997)
shallow grave (1994),3.8181818181818183,66,Crimson Tide (1995),Benny & Joon (1993),Ulee's Gold (1997),"Maltese Falcon, The (1941)"
shanghai triad (yao a yao yao dao waipo qiao) (1995),3.576923076923077,26,Grumpier Old Men (1995),Father of the Bride Part II (1995),Outbreak (1995),"Magnificent Seven, The (1954)"
"shawshank redemption, the (1994)",4.445229681978798,283,Happy Gilmore (1996),Glory (1989),Austin Powers: International Man of Mystery (1997),"River Wild, The (1994)"
she's so lovely (1997),2.7358490566037736,53,"Nightmare on Elm Street, A (1984)",Tombstone (1993),Ace Ventura: Pet Detective (1994),Batman Returns (1992)
she's the one (1996),3.0136986301369864,73,Carrie (1976),"Deer Hunter, The (1978)",Kiss the Girls (1997),Nikita (La Femme Nikita) (1990)
shiloh (1997),2.8333333333333335,12,Raging Bull (1980),"Net, The (1995)",My Fair Lady (1964),Much Ado About Nothing (1993)
shine (1996),3.9224806201550386,129,Kiss the Girls (1997),Ulee's Gold (1997),Ace Ventura: Pet Detective (1994),True Lies (1994)
"shining, the (1980)",3.825242718446602,206,Bonnie and Clyde (1967),Chinatown (1974),"Peacemaker, The (1997)",True Romance (1993)
"shooter, the (1995)",2.6666666666666665,3,Fried Green Tomatoes (1991),Henry V (1989),Highlander (1986),"Hudsucker Proxy, The (1994)"
shooting fish (1997),2.5,10,Die Hard 2 (1990),Conan the Barbarian (1981),Star Trek: The Wrath of Khan (1982),GoldenEye (1995)
shopping (1994),2.0,1,-,-,-,-
short cuts (1993),3.7761194029850746,67,Amistad (1997),"Hunchback of Notre Dame, The (1996)","Sex, Lies, and Videotape (1989)","Lost World: Jurassic Park, The (1997)"
"show, the (1995)",3.0,2,Dead Poets Society (1989),M*A*S*H (1970),Monty Python and the Holy Grail (1974),"Crow, The (1994)"
showgirls (1995),1.9565217391304348,23,Alien: Resurrection (1997),Rosewood (1997),Bonnie and Clyde (1967),Henry V (1989)
"silence of the lambs, the (1991)",4.28974358974359,390,Alien: Resurrection (1997),Basic Instinct (1992),"Crying Game, The (1992)",Shine (1996)
"silence of the palace, the (saimt el qusur) (1994)",3.0,1,-,-,-,-
"simple twist of fate, a (1994)",3.2,10,Ulee's Gold (1997),Kiss the Girls (1997),"Rainmaker, The (1997)",Scream 2 (1997)
"simple wish, a (1997)",1.6666666666666667,3,"Saint, The (1997)",Evita (1996),Volcano (1997),Good Will Hunting (1997)
singin' in the rain (1952),3.9927007299270074,137,"Abyss, The (1989)",Gattaca (1997),12 Angry Men (1957),Donnie Brasco (1997)
sirens (1994),2.983050847457627,59,"Magnificent Seven, The (1954)",Wag the Dog (1997),"Cable Guy, The (1996)",Bound (1996)
six degrees of separation (1993),3.77027027027027,74,Spawn (1997),Amistad (1997),Outbreak (1995),Batman (1989)
"sixth man, the (1997)",3.2222222222222223,9,Mrs. Doubtfire (1993),Conan the Barbarian (1981),Father of the Bride Part II (1995),"First Wives Club, The (1996)"
sleeper (1973),3.6341463414634148,82,Benny & Joon (1993),Everyone Says I Love You (1996),Kiss the Girls (1997),Fly Away Home (1996)
sleepers (1996),3.514792899408284,169,Kiss the Girls (1997),Murder at 1600 (1997),"Deer Hunter, The (1978)",Absolute Power (1997)
sleepless in seattle (1993),3.539906103286385,213,That Thing You Do! (1996),Tin Cup (1996),Grease (1978),"River Wild, The (1994)"
sleepover (1995),3.0,1,-,-,-,-
sliding doors (1998),2.6,5,Dances with Wolves (1990),Everyone Says I Love You (1996),Event Horizon (1997),Kiss the Girls (1997)
sling blade (1996),4.198529411764706,136,Ed Wood (1994),Lone Star (1996),Arsenic and Old Lace (1944),Fly Away Home (1996)
"slingshot, the (1993)",3.5,2,When Harry Met Sally... (1989),In & Out (1997),Annie Hall (1977),Dead Poets Society (1989)
sliver (1993),2.4054054054054053,37,G.I. Jane (1997),Stargate (1994),Eraser (1996),Bram Stoker's Dracula (1992)
small faces (1995),2.0,1,-,-,-,-
"smile like yours, a (1997)",2.88,25,Lone Star (1996),"Truth About Cats & Dogs, The (1996)",Back to the Future (1985),Fargo (1996)
smilla's sense of snow (1997),3.1666666666666665,48,Dumbo (1941),"Peacemaker, The (1997)","Graduate, The (1967)",Rear Window (1954)
smoke (1995),3.6216216216216215,74,Absolute Power (1997),Austin Powers: International Man of Mystery (1997),Conan the Barbarian (1981),My Fair Lady (1964)
sneakers (1992),3.513333333333333,150,G.I. Jane (1997),Fly Away Home (1996),Good Will Hunting (1997),Rosewood (1997)
snow white and the seven dwarfs (1937),3.7093023255813953,172,Dumbo (1941),Miracle on 34th Street (1994),Pinocchio (1940),Cinderella (1950)
so dear to my heart (1949),3.25,4,Cinema Paradiso (1988),Broken Arrow (1996),"Magnificent Seven, The (1954)",Hoop Dreams (1994)
so i married an axe murderer (1993),3.0526315789473686,95,"Frighteners, The (1996)",Austin Powers: International Man of Mystery (1997),Jackie Chan's First Strike (1996),Mystery Science Theater 3000: The Movie (1996)
solo (1996),1.8333333333333333,12,"Edge, The (1997)",Kiss the Girls (1997),Fly Away Home (1996),"Truth About Cats & Dogs, The (1996)"
some folks call it a sling blade (1993),4.2926829268292686,41,Sling Blade (1996),Conan the Barbarian (1981),Die Hard: With a Vengeance (1995),Seven Years in Tibet (1997)
some kind of wonderful (1987),3.6610169491525424,59,Amistad (1997),Fly Away Home (1996),"Ghost and the Darkness, The (1996)","Craft, The (1996)"
some like it hot (1959),3.984375,128,"Long Kiss Goodnight, The (1996)","Cable Guy, The (1996)",Kiss the Girls (1997),Jackie Brown (1997)
some mother's son (1996),4.5,2,Fried Green Tomatoes (1991),Cold Comfort Farm (1995),Philadelphia (1993),Grosse Pointe Blank (1997)
somebody to love (1994),1.0,2,-,-,-,-
someone else's america (1995),5.0,1,-,-,-,-
something to talk about (1995),2.769230769230769,26,Jackie Brown (1997),Absolute Power (1997),Fly Away Home (1996),Jungle2Jungle (1997)
somewhere in time (1980),3.426829268292683,82,Donnie Brasco (1997),Star Trek VI: The Undiscovered Country (1991),What's Eating Gilbert Grape (1993),Tombstone (1993)
son in law (1993),2.4871794871794872,39,"Ice Storm, The (1997)",Cinema Paradiso (1988),Crash (1996),Big Night (1996)
sophie's choice (1982),3.896551724137931,58,Mother (1996),William Shakespeare's Romeo and Juliet (1996),Waterworld (1995),True Romance (1993)
soul food (1997),3.169491525423729,59,"Close Shave, A (1995)",Pink Floyd - The Wall (1982),"Last of the Mohicans, The (1992)",Raging Bull (1980)
"sound of music, the (1965)",3.765765765765766,222,Scream 2 (1997),Mary Poppins (1964),My Fair Lady (1964),Grease (1978)
space jam (1996),2.774193548387097,93,Secrets & Lies (1996),Jackie Chan's First Strike (1996),Ulee's Gold (1997),G.I. Jane (1997)
"spanish prisoner, the (1997)",4.0,1,-,-,-,-
spanking the monkey (1994),3.074074074074074,27,"Cable Guy, The (1996)",Platoon (1986),Alien: Resurrection (1997),"Devil's Advocate, The (1997)"
spawn (1997),2.6153846153846154,143,Outbreak (1995),"Crow, The (1994)",Basic Instinct (1992),Stargate (1994)
"specialist, the (1994)",2.25,20,"Boot, Das (1981)","African Queen, The (1951)","Killing Fields, The (1984)",Gone with the Wind (1939)
species (1995),2.8666666666666667,45,Ulee's Gold (1997),"Philadelphia Story, The (1940)",Shine (1996),Being There (1979)
speechless (1994),3.0833333333333335,36,Seven Years in Tibet (1997),Absolute Power (1997),G.I. Jane (1997),Amistad (1997)
speed (1994),3.6478260869565218,230,Good Will Hunting (1997),Back to the Future (1985),Fly Away Home (1996),Pretty Woman (1990)
speed 2: cruise control (1997),2.1315789473684212,38,My Fair Lady (1964),Benny & Joon (1993),As Good As It Gets (1997),Conan the Barbarian (1981)
spellbound (1945),3.933333333333333,30,"Edge, The (1997)","Hunchback of Notre Dame, The (1996)",Austin Powers: International Man of Mystery (1997),"Cable Guy, The (1996)"
sphere (1998),2.926829268292683,41,Being There (1979),On Golden Pond (1981),Mr. Smith Goes to Washington (1939),Cool Hand Luke (1967)
spice world (1997),2.1153846153846154,26,"Hudsucker Proxy, The (1994)",Dave (1993),Like Water For Chocolate (Como agua para chocolate) (1992),Grease (1978)
spirits of the dead (tre passi nel delirio) (1968),2.5,2,My Left Foot (1989),Rear Window (1954),"Professional, The (1994)",Patton (1970)
"spitfire grill, the (1996)",3.804123711340206,97,"Nightmare on Elm Street, A (1984)",Dragonheart (1996),Good Will Hunting (1997),Real Genius (1985)
sprung (1997),2.0,3,-,-,-,-
spy hard (1996),2.511627906976744,43,In the Name of the Father (1993),Arsenic and Old Lace (1944),"Magnificent Seven, The (1954)","Room with a View, A (1986)"
squeeze (1996),1.6666666666666667,3,Ulee's Gold (1997),"Devil's Advocate, The (1997)",Fly Away Home (1996),Murder at 1600 (1997)
stag (1997),2.111111111111111,9,"Shining, The (1980)",Rumble in the Bronx (1995),When Harry Met Sally... (1989),Chinatown (1974)
stalingrad (1993),3.1666666666666665,12,Mother (1996),Grumpier Old Men (1995),Father of the Bride Part II (1995),Down Periscope (1996)
stalker (1979),3.5454545454545454,11,Apt Pupil (1998),Die Hard 2 (1990),"Boot, Das (1981)","Time to Kill, A (1996)"
stand by me (1986),3.881057268722467,227,Donnie Brasco (1997),Shine (1996),Platoon (1986),Die Hard: With a Vengeance (1995)
star kid (1997),5.0,3,-,-,-,-
"star maker, the (uomo delle stelle, l') (1995)",3.1666666666666665,12,"Rainmaker, The (1997)","Close Shave, A (1995)","Edge, The (1997)",Chinatown (1974)
star maps (1997),3.0526315789473686,19,Pinocchio (1940),Waterworld (1995),Die Hard 2 (1990),"Last of the Mohicans, The (1992)"
star trek iii: the search for spock (1984),3.111111111111111,171,Star Trek: The Motion Picture (1979),Star Trek IV: The Voyage Home (1986),Star Trek: Generations (1994),"Lost World: Jurassic Park, The (1997)"
star trek iv: the voyage home (1986),3.4472361809045227,199,Cop Land (1997),Star Trek III: The Search for Spock (1984),Jungle2Jungle (1997),Star Trek: First Contact (1996)
star trek v: the final frontier (1989),2.3968253968253967,63,"Ice Storm, The (1997)",Bonnie and Clyde (1967),"Rainmaker, The (1997)",Apt Pupil (1998)
star trek vi: the undiscovered country (1991),3.279503105590062,161,Star Trek III: The Search for Spock (1984),"Manchurian Candidate, The (1962)",Star Trek: The Motion Picture (1979),Secrets & Lies (1996)
star trek: first contact (1996),3.66027397260274,365,Star Trek: Generations (1994),Star Trek IV: The Voyage Home (1986),Star Trek: The Wrath of Khan (1982),"Fugitive, The (1993)"
star trek: generations (1994),3.336206896551724,116,Star Trek III: The Search for Spock (1984),"Philadelphia Story, The (1940)",Star Trek: First Contact (1996),William Shakespeare's Romeo and Juliet (1996)
star trek: the motion picture (1979),3.034188034188034,117,Ulee's Gold (1997),Rosewood (1997),Star Trek III: The Search for Spock (1984),"Room with a View, A (1986)"
star trek: the wrath of khan (1982),3.8155737704918034,244,Ulee's Gold (1997),"Manchurian Candidate, The (1962)","Wrong Trousers, The (1993)",Star Trek IV: The Voyage Home (1986)
star wars (1977),4.359589041095891,584,"Empire Strikes Back, The (1980)",Return of the Jedi (1983),Raiders of the Lost Ark (1981),Austin Powers: International Man of Mystery (1997)
stargate (1994),3.141732283464567,127,"Ghost and the Darkness, The (1996)",My Best Friend's Wedding (1997),Fly Away Home (1996),"Game, The (1997)"
"stars fell on henrietta, the (1995)",2.3333333333333335,3,Brazil (1985),Everyone Says I Love You (1996),Like Water For Chocolate (Como agua para chocolate) (1992),M*A*S*H (1970)
starship troopers (1997),3.2322274881516586,211,Down Periscope (1996),Grumpier Old Men (1995),Maverick (1994),Alien: Resurrection (1997)
"steal big, steal little (1995)",2.5714285714285716,7,"Magnificent Seven, The (1954)","Nightmare Before Christmas, The (1993)",Reservoir Dogs (1992),"Room with a View, A (1986)"
stealing beauty (1996),3.375,64,G.I. Jane (1997),Ace Ventura: Pet Detective (1994),Crash (1996),"Great Escape, The (1963)"
steel (1997),2.1578947368421053,19,Fried Green Tomatoes (1991),My Left Foot (1989),One Fine Day (1996),In the Line of Fire (1993)
stefano quantestorie (1993),1.0,1,-,-,-,-
stephen king's the langoliers (1995),2.413793103448276,29,"Lost World: Jurassic Park, The (1997)",Crimson Tide (1995),"Full Monty, The (1997)",Fly Away Home (1996)
"sting, the (1973)",4.058091286307054,241,Butch Cassidy and the Sundance Kid (1969),Dumbo (1941),"Wrong Trousers, The (1993)",Miracle on 34th Street (1994)
stonewall (1995),4.2,5,Henry V (1989),Much Ado About Nothing (1993),"Clockwork Orange, A (1971)","Boot, Das (1981)"
"story of xinghua, the (1993)",3.2,5,"Ghost and the Darkness, The (1996)",Kolya (1996),Grumpier Old Men (1995),Lost Highway (1997)
strange days (1995),3.264367816091954,87,Hoop Dreams (1994),Like Water For Chocolate (Como agua para chocolate) (1992),Spawn (1997),Strictly Ballroom (1992)
stranger in the house (1997),2.4285714285714284,7,"Professional, The (1994)",Crimson Tide (1995),"Game, The (1997)",True Lies (1994)
"stranger, the (1994)",3.0,3,Kingpin (1996),Ulee's Gold (1997),Trainspotting (1996),Toy Story (1995)
strawberry and chocolate (fresa y chocolate) (1993),3.272727272727273,11,Primal Fear (1996),"Last of the Mohicans, The (1992)",Dante's Peak (1997),Beauty and the Beast (1991)
street fighter (1994),2.75,8,Beautiful Girls (1996),Arsenic and Old Lace (1944),Chasing Amy (1997),"Devil's Own, The (1997)"
"streetcar named desire, a (1951)",3.816326530612245,98,Alien: Resurrection (1997),True Romance (1993),Scream 2 (1997),"Devil's Advocate, The (1997)"
strictly ballroom (1992),4.028846153846154,104,"Manchurian Candidate, The (1962)",Ulee's Gold (1997),Lone Star (1996),Butch Cassidy and the Sundance Kid (1969)
striking distance (1993),2.5833333333333335,12,"Peacemaker, The (1997)",G.I. Jane (1997),Cop Land (1997),Michael (1996)
stripes (1981),3.8,5,Under Siege (1992),"Professional, The (1994)",Face/Off (1997),Star Wars (1977)
striptease (1996),2.2388059701492535,67,"Ice Storm, The (1997)","Edge, The (1997)",Spawn (1997),G.I. Jane (1997)
stuart saves his family (1995),2.125,16,Pink Floyd - The Wall (1982),"Killing Fields, The (1984)","Close Shave, A (1995)","Devil's Advocate, The (1997)"
"stupids, the (1996)",2.0,17,Harold and Maude (1971),"Adventures of Priscilla, Queen of the Desert, The (1994)",Secrets & Lies (1996),Seven Years in Tibet (1997)
suburbia (1997),3.6666666666666665,12,"Magnificent Seven, The (1954)","Nightmare Before Christmas, The (1993)",Being There (1979),Apt Pupil (1998)
"substance of fire, the (1996)",3.25,4,Toy Story (1995),"Game, The (1997)",Sense and Sensibility (1995),Dead Man Walking (1995)
"substitute, the (1996)",2.693877551020408,49,"Ice Storm, The (1997)",Gattaca (1997),Jungle2Jungle (1997),Mother (1996)
sudden death (1995),2.723404255319149,47,Ulee's Gold (1997),"Ice Storm, The (1997)",Arsenic and Old Lace (1944),"Postino, Il (1994)"
sudden manhattan (1996),1.5,2,G.I. Jane (1997),Air Force One (1997),Good Will Hunting (1997),My Best Friend's Wedding (1997)
"sum of us, the (1994)",3.5454545454545454,11,"Good, The Bad and The Ugly, The (1966)",Highlander (1986),Hoop Dreams (1994),Clear and Present Danger (1994)
"sunchaser, the (1996)",3.0,1,-,-,-,-
sunset blvd. (1950),4.2,65,"Hunchback of Notre Dame, The (1996)",Cop Land (1997),"Frighteners, The (1996)",Chinatown (1974)
sunset park (1996),2.5,8,"Sound of Music, The (1965)",Die Hard 2 (1990),Pretty Woman (1990),"Firm, The (1993)"
super mario bros. (1993),2.076923076923077,26,Amistad (1997),Kolya (1996),G.I. Jane (1997),Seven Years in Tibet (1997)
supercop (1992),3.5384615384615383,65,Mother (1996),In & Out (1997),"Devil's Advocate, The (1997)",Beavis and Butt-head Do America (1996)
surviving picasso (1996),3.1052631578947367,19,Sneakers (1992),"Frighteners, The (1996)","Mask, The (1994)","Crow, The (1994)"
surviving the game (1994),2.4545454545454546,11,Fly Away Home (1996),One Fine Day (1996),Father of the Bride Part II (1995),Ed Wood (1994)
suture (1993),2.25,4,Harold and Maude (1971),Under Siege (1992),Chinatown (1974),"Sex, Lies, and Videotape (1989)"
"swan princess, the (1994)",2.857142857142857,7,Henry V (1989),Harold and Maude (1971),"Killing Fields, The (1984)",Little Women (1994)
"sweet hereafter, the (1997)",3.772727272727273,44,Michael (1996),Absolute Power (1997),Conan the Barbarian (1981),One Fine Day (1996)
sweet nothing (1995),3.0,1,-,-,-,-
swept from the sea (1997),2.4285714285714284,7,"Boot, Das (1981)",Spawn (1997),"Devil's Own, The (1997)",Chasing Amy (1997)
swimming with sharks (1995),3.574468085106383,47,Being There (1979),Amistad (1997),G.I. Jane (1997),My Left Foot (1989)
swingers (1996),3.828025477707006,157,Harold and Maude (1971),"Maltese Falcon, The (1941)",Outbreak (1995),Alien (1979)
swiss family robinson (1960),3.358974358974359,39,Bound (1996),Everyone Says I Love You (1996),Ulee's Gold (1997),"Edge, The (1997)"
switchback (1997),2.823529411764706,17,Absolute Power (1997),Casablanca (1942),"Close Shave, A (1995)",Clueless (1995)
switchblade sisters (1975),3.230769230769231,13,Crimson Tide (1995),"Ice Storm, The (1997)",Good Will Hunting (1997),Apt Pupil (1998)
"sword in the stone, the (1963)",3.3292682926829267,82,Kiss the Girls (1997),Scream 2 (1997),In & Out (1997),Primal Fear (1996)
"symphonie pastorale, la (1946)",1.0,1,-,-,-,-
t-men (1947),1.0,1,-,-,-,-
tainted (1998),3.0,1,-,-,-,-
tales from the crypt presents: demon knight (1995),2.9767441860465116,43,"Room with a View, A (1986)",In & Out (1997),101 Dalmatians (1996),Grumpier Old Men (1995)
tales from the crypt presents: bordello of blood (1996),2.6363636363636362,55,Arsenic and Old Lace (1944),"Deer Hunter, The (1978)",Scream 2 (1997),"Peacemaker, The (1997)"
tales from the hood (1995),2.037037037037037,27,Kolya (1996),In & Out (1997),Seven Years in Tibet (1997),Mr. Smith Goes to Washington (1939)
talking about sex (1994),1.8,5,"Godfather, The (1972)",Rosewood (1997),Secrets & Lies (1996),"Full Monty, The (1997)"
"tango lesson, the (1997)",3.3846153846153846,13,Down Periscope (1996),That Thing You Do! (1996),George of the Jungle (1997),Cop Land (1997)
tank girl (1995),2.8536585365853657,41,"Rainmaker, The (1997)","Ice Storm, The (1997)",Amistad (1997),"Edge, The (1997)"
target (1995),3.0,1,-,-,-,-
taxi driver (1976),4.1208791208791204,182,"Cable Guy, The (1996)",Chinatown (1974),Psycho (1960),L.A. Confidential (1997)
telling lies in america (1997),3.230769230769231,13,"River Wild, The (1994)",Face/Off (1997),Interview with the Vampire (1994),Batman (1989)
temptress moon (feng yue) (1996),1.6666666666666667,3,Chasing Amy (1997),"English Patient, The (1996)",Sense and Sensibility (1995),Star Wars (1977)
terminal velocity (1994),2.676470588235294,34,Kolya (1996),"Close Shave, A (1995)","Philadelphia Story, The (1940)","First Wives Club, The (1996)"
terminator 2: judgment day (1991),4.0067796610169495,295,"Terminator, The (1984)","Craft, The (1996)","Firm, The (1993)",True Lies (1994)
"terminator, the (1984)",3.9335548172757475,301,Terminator 2: Judgment Day (1991),Young Guns (1988),Scream 2 (1997),"Frighteners, The (1996)"
terror in a texas town (1958),1.0,1,-,-,-,-
tetsuo ii: body hammer (1992),2.6666666666666665,6,Sleepers (1996),"Edge, The (1997)",Down Periscope (1996),Leaving Las Vegas (1995)
that darn cat! (1965),2.473684210526316,19,Face/Off (1997),Austin Powers: International Man of Mystery (1997),Spawn (1997),Jackie Brown (1997)
that darn cat! (1997),2.4634146341463414,41,"Sex, Lies, and Videotape (1989)",Austin Powers: International Man of Mystery (1997),Kingpin (1996),Ace Ventura: Pet Detective (1994)
